ID	suid	RNA_ng_per_ul	Box
19291X1	41387	57.4	1
19291X2	41500	152.9	1
19291X3	41627	172.7	1
19291X4	41632	87.3	1
19291X5	41691	132.6	1
19291X6	41886	147.7	1
19291X7	42046	107.2	1
19291X8	42048	107.3	1
19291X9	42052	10.3	1
19291X10	42053	108.2	1
19291X11	42059	109.7	1
19291X12	42199	139.6	1
19291X13	42202	169.9	1
19291X14	42343	202	1
19291X15	42608	216.7	1
19291X16	42711	165.8	1
19291X17	42812	123.9	1
19291X18	43140	206.9	1
19291X19	43223	104	1
19291X20	43229	151.4	1
19291X21	43337	154.7	1
19291X22	43474	187.8	1
19291X23	43537	170.4	1
19291X24	43568	173	1
19291X25	43592	180.1	1
19291X26	43746	137.4	1
19291X27	43908	52	1
19291X28	43986	248.7	1
19291X29	45139	200	1
19291X30	45310	76.6	1
19291X31	45328	122.3	1
19291X32	45351	128.5	1
19291X33	45818	176.6	1
19291X34	46732	128.2	1
19291X35	46899	52.5	1
19291X36	47559	45.5	1
19291X37	47624	103	1
19291X38	47631	122.2	1
19291X39	47983	71.7	1
19291X40	48053	94.6	1
19291X41	48138	155.2	1
19291X42	48206	191.1	1
19291X43	48245	142.4	1
19291X44	110149	443.4	1
19291X45	110187	319.7	1
19291X46	110188	456.5	1
19291X47	110190	71.9	1
19291X48	110202	65.3	1
19291X49	110203	63.4	1
19291X50	110206	263.6	1
19291X51	110208	64.8	1
19291X52	110209	37.5	1
19291X53	110210	84.5	1
19291X54	110211	385.9	1
19291X55	110212	125.4	1
19291X56	110221	351.1	1
19291X57	110227	82.2	1
19291X58	110230	311.7	1
19291X59	110232	85.5	1
19291X60	110234	58.9	1
19291X61	110239	51.7	1
19291X62	110245	130.8	1
19291X63	110246	297.3	1
19291X64	110247	146.9	1
19291X65	110248	128.3	1
19291X66	110249	34.5	1
19291X67	110250	121.4	1
19291X68	110251	168.5	1
19291X69	110266	75	1
19291X70	110271	420.6	1
19291X71	110275	306	1
19291X72	110288	157.8	1
19291X73	110289	159.7	1
19291X74	110290	189.9	1
19291X75	110291	23	1
19291X76	110295	76.5	1
19291X77	110299	171.1	1
19291X78	110301	180.4	1
19291X79	110304	228.6	1
19291X80	110307	60.9	1
19291X81	110308	116.4	1
19291X82	110311	393.1	2
19291X83	110318	341.8	2
19291X84	110324	85.9	2
19291X85	110328	77.8	2
19291X86	110340	330.8	2
19291X87	110341	171	2
19291X88	110347	75.6	2
19291X89	110348	158.9	2
19291X90	110350	49.4	2
19291X91	110356	26.4	2
19291X92	110361	237.2	2
19291X93	110362	70.7	2
19291X94	110363	262.8	2
19291X95	110369	284.5	2
19291X96	110379	57.5	2
19291X97	110380	96.5	2
19291X98	110382	402	2
19291X99	110385	226.9	2
19291X100	110392	103.2	2
19291X101	110393	407.8	2
19291X102	110394	74	2
19291X103	110403	157.3	2
19291X104	110404	476.8	2
19291X105	110407	89.4	2
19291X106	120108	56.7	2
19291X107	120121	135.8	2
19291X108	120129	220.2	2
19291X109	120135	76.1	2
19291X110	120142	179.9	2
19291X111	120143	209.5	2
19291X112	120147	98.4	2
19291X113	120150	147.6	2
19291X114	120159	84.7	2
19291X115	120179	137.8	2
19291X116	120181	140.3	2
19291X117	120185	243.6	2
19291X118	120189	111	2
19291X119	120191	181.3	2
19291X120	120207	149.4	2
19291X121	120231	139.1	2
19291X122	120232	125.7	2
19291X123	122207	123.8	2
19291X124	122216	130.2	2
19291X125	122239	142.8	2
19291X126	122243	128.7	2
19291X127	122355	67.5	2
19291X128	123115	168.9	2
19291X129	130011	165.5	2
19291X130	130022	161.5	2
19291X131	130024	542.2	2
19291X132	130031	176.3	2
19291X133	130034	213.7	2
19291X134	130037	555.2	2
19291X135	130041	401.2	2
19291X136	130050	169.5	2
19291X137	130054	220.3	2
19291X138	130061	37.2	2
19291X139	130066	546.3	2
19291X140	130078	122	2
19291X141	130110	577	2
19291X142	130114	577.3	2
19291X143	130123	89.4	2
19291X144	130126	555.9	2
19291X145	130131	429.2	2
19291X146	130136	375.1	2
19291X147	130138	642.6	2
19291X148	130143	206.9	2
19291X149	130145	187.9	2
19291X150	130152	185.7	2
19291X151	130167	144.9	2
19291X152	130181	184.5	2
19291X153	130184	127.1	2
19291X154	130185	138.5	2
19291X155	130186	179.3	2
19291X156	130195	447.2	2
19291X157	130199	115.8	2
19291X158	130205	161.3	3
19291X159	130207	226.2	3
19291X160	130212	126	3
19291X161	130214	98.7	3
19291X162	130223	187.5	3
19291X163	130263	53.5	3
19291X164	140001	133	3
19291X165	150002	56.1	3
