rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	TP53	tumor protein p53	1889	0	0	4	107	25	7	39	178	177	110	2.347303e-15	1.000000e-05	1.000000e-05	1.000000e-16	1.886200e-12
2	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	823	4	0	2	19	0	0	0	19	19	3	9.274154e-05	1.000000e-05	2.017000e-02	2.021638e-08	1.906606e-04
3	ALG1	asparagine-linked glycosylation 1 homolog (S. cerevisiae, beta-1,4-mannosyltransferase)	1456	74	0	0	5	0	1	0	6	6	2	5.015366e-04	1.000000e-05	9.837300e-01	1.008628e-07	5.615085e-04
4	BRCA1	breast cancer 1, early onset	5750	8	0	0	1	2	2	2	7	7	6	1.809990e-07	2.900000e-02	6.510000e-01	1.190772e-07	5.615085e-04
5	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	18	0	0	4	0	0	0	4	4	2	1.515250e-05	7.500000e-04	7.303500e-01	2.192504e-07	8.271002e-04
6	GPR107	G protein-coupled receptor 107	1879	16	0	0	7	0	0	1	8	7	3	1.166786e-02	1.000000e-05	9.999400e-01	1.062155e-05	3.339060e-02
7	GIMAP4	GTPase, IMAP family member 4	998	37	0	0	2	1	0	2	5	4	5	3.063395e-06	1	2.620000e-01	1.559963e-05	4.203431e-02
8	ZNF681	zinc finger protein 681	1950	2	0	0	16	0	0	0	16	15	4	3.265631e-01	1.000000e-05	7.371600e-01	4.451727e-05	9.536555e-02
9	RB1	retinoblastoma 1 (including osteosarcoma)	3704	17	0	0	0	1	1	4	6	6	6	6.035723e-06	1	5.130000e-01	4.550366e-05	9.536555e-02
10	ANKRD30A	ankyrin repeat domain 30A	4164	10	0	0	9	0	0	0	9	9	5	5.885606e-01	1.000000e-05	9.989500e-01	7.676597e-05	1.447960e-01
11	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	1012	0	0	13	20	0	0	0	20	20	3	7.866809e-01	1.000000e-05	1.600000e-03	1.003243e-04	1.573458e-01
12	LILRA1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	1506	0	0	5	8	0	0	0	8	8	5	9.650406e-01	1.000000e-05	7.917500e-01	1.210982e-04	1.573458e-01
13	KRT18	keratin 18	1322	0	0	4	27	0	0	0	27	21	5	9.802266e-01	1.000000e-05	9.735000e-01	1.228508e-04	1.573458e-01
14	NACAD	NAC alpha domain containing	4719	0	0	2	7	0	0	0	7	7	3	9.999739e-01	1.000000e-05	9.999800e-01	1.251262e-04	1.573458e-01
15	PRSS3	protease, serine, 3	977	0	0	48	36	0	0	2	38	25	7	9.999997e-01	1.000000e-05	1	1.251292e-04	1.573458e-01
16	PF4V1	platelet factor 4 variant 1	325	9	0	0	0	0	2	0	2	2	1	1.574588e-04	1.090000e-01	9.880000e-01	2.054884e-04	2.299978e-01
17	ZNF91	zinc finger protein 91	3588	5	0	1	8	0	0	0	8	6	6	2.887924e-01	3.000000e-05	6.172000e-01	2.072931e-04	2.299978e-01
18	ZNF701	zinc finger protein 701	1612	5	0	0	5	0	0	0	5	4	2	1.897721e-01	1.000000e-04	7.159700e-01	2.253026e-04	2.360921e-01
19	ZNF714	zinc finger protein 714	1677	2	0	0	4	0	0	0	4	4	2	2.637421e-01	1.000000e-04	9.280600e-01	3.044408e-04	3.022296e-01
20	HYDIN	hydrocephalus inducing homolog (mouse)	15717	14	0	1	5	0	0	0	5	5	3	8.387381e-01	1.000000e-05	7.077400e-01	3.791931e-04	3.576170e-01
21	SLC6A19	solute carrier family 6 (neutral amino acid transporter), member 19	1951	27	0	0	2	1	0	0	3	3	3	1.899191e-04	1	3.700000e-02	4.226629e-04	3.796318e-01
22	DNA2	DNA replication helicase 2 homolog (yeast)	3521	57	0	0	3	0	1	0	4	4	4	5.399862e-04	1	6.300000e-02	5.043854e-04	4.324417e-01
23	FBXW7	F-box and WD repeat domain containing 7	2580	54	0	0	4	0	0	0	4	4	3	4.823520e-04	1.060000e-01	7.170000e-01	5.896001e-04	4.835234e-01
24	NPC1L1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1	4158	21	0	0	7	0	0	0	7	6	6	2.469280e-03	2.000000e-02	9.900000e-01	7.314567e-04	5.748640e-01
25	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	1370	11	0	0	9	0	0	0	9	6	5	2.024256e-01	5.250000e-04	7.693250e-01	8.913492e-04	6.725051e-01
26	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	1223	20	0	0	0	0	1	1	2	2	2	1.381444e-03	NaN	NaN	1.381444e-03	1
27	ZNF880	zinc finger protein 880	1748	32	0	0	3	0	0	1	4	3	3	1.169109e-01	2.325000e-02	3.150000e-03	1.436682e-03	1
28	C11orf80	chromosome 11 open reading frame 80	2100	32	0	0	3	0	0	0	3	3	2	6.477626e-03	2.200000e-02	1	1.518734e-03	1
29	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1148	23	0	0	2	0	0	0	2	2	2	1.734912e-02	1	1.000000e-02	1.675818e-03	1
30	ZBTB7B	zinc finger and BTB domain containing 7B	1628	15	0	0	1	1	0	0	2	2	2	1.418065e-03	1	1.040000e-01	1.696142e-03	1
31	FAM38B	family with sequence similarity 38, member B	8463	48	0	0	7	0	1	1	9	8	9	3.352670e-04	1	4.670000e-01	1.850401e-03	1
32	BRCA2	breast cancer 2, early onset	10361	2	0	1	1	1	1	2	5	5	5	6.846545e-04	1	2.330000e-01	2.082441e-03	1
33	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	4265	29	0	0	3	1	0	0	4	4	4	2.391176e-03	1	7.700000e-02	3.051814e-03	1
34	RPLP1	ribosomal protein, large, P1	359	6	0	0	0	1	0	0	1	1	1	3.133156e-03	NaN	NaN	3.133156e-03	1
35	SCGBL		301	13	0	0	0	0	1	0	1	1	1	3.259215e-03	NaN	NaN	3.259215e-03	1
36	KRTAP5-5	keratin associated protein 5-5	716	1	0	10	6	0	0	0	6	5	3	1.000000e+00	7.750000e-04	2.759250e-01	3.333219e-03	1
37	MUC20	mucin 20, cell surface associated	1633	105	0	0	3	0	0	0	3	3	3	1.668980e-02	1	1.270000e-02	3.416174e-03	1
38	HIST1H4B	histone cluster 1, H4b	314	70	0	0	1	0	0	1	2	2	2	4.390006e-04	1	9.300000e-01	3.832918e-03	1
39	NPAS4	neuronal PAS domain protein 4	2437	50	0	0	3	0	0	1	4	3	4	1.083292e-02	1	3.400000e-02	3.872696e-03	1
40	LRTM1	leucine-rich repeats and transmembrane domains 1	1048	109	0	0	1	0	0	1	2	2	2	3.329927e-02	1	1.000000e-02	4.042293e-03	1
41	AQP11	aquaporin 11	824	8	0	0	0	0	1	0	1	1	1	4.288395e-03	NaN	NaN	4.288395e-03	1
42	WDR73	WD repeat domain 73	1225	19	0	0	0	0	1	0	1	1	1	4.387408e-03	NaN	NaN	4.387408e-03	1
43	LCK	lymphocyte-specific protein tyrosine kinase	1580	28	0	0	0	1	0	0	1	1	1	4.455910e-03	NaN	NaN	4.455910e-03	1
44	CCL22	chemokine (C-C motif) ligand 22	292	15	0	0	0	0	0	1	1	1	1	4.549553e-03	NaN	NaN	4.549553e-03	1
45	RALGAPB	Ral GTPase activating protein, beta subunit (non-catalytic)	4601	16	0	0	0	0	1	1	2	2	2	6.144940e-03	1	6.400000e-02	4.608606e-03	1
46	VSIG8	V-set and immunoglobulin domain containing 8	1269	35	0	0	0	0	1	0	1	1	1	5.133432e-03	NaN	NaN	5.133432e-03	1
47	THBS3	thrombospondin 3	3292	19	0	0	3	0	0	0	3	3	3	1.326537e-01	1	1.100000e-03	5.371365e-03	1
48	CS	citrate synthase	1441	28	0	0	0	0	1	0	1	1	1	5.404892e-03	NaN	NaN	5.404892e-03	1
49	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	1358	60	0	0	3	0	0	0	3	3	3	3.651834e-03	1	1.520000e-01	5.500550e-03	1
50	CPA1	carboxypeptidase A1 (pancreatic)	1300	19	1	0	1	0	1	0	2	2	2	2.143054e-03	1	1.320000e-01	5.681635e-03	1
51	NPW	neuropeptide W	502	16	0	0	2	0	0	0	2	2	1	1.347006e-02	2.900000e-02	4.440000e-01	5.690344e-03	1
52	C1orf172	chromosome 1 open reading frame 172	1209	110	0	0	2	0	1	1	4	4	4	6.934811e-04	1	7.140000e-01	5.737714e-03	1
53	LYST	lysosomal trafficking regulator	11610	0	0	0	1	2	1	0	4	4	4	4.002916e-03	1	1.430000e-01	5.904930e-03	1
54	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3013	47	0	0	4	0	0	0	4	4	4	1.669460e-03	1	4.070000e-01	6.011235e-03	1
55	KIAA1012	KIAA1012	4420	38	0	0	2	1	0	0	3	3	3	2.350364e-03	1	3.160000e-01	6.127979e-03	1
56	SPOP	speckle-type POZ protein	1161	29	0	0	3	1	0	0	4	3	4	7.879445e-04	1	3.150000e-01	6.418661e-03	1
57	AQP12A	aquaporin 12A	902	35	0	0	2	0	0	0	2	2	2	8.961967e-03	1	2.600000e-02	6.423725e-03	1
58	ALG9	asparagine-linked glycosylation 9 homolog (S. cerevisiae, alpha- 1,2-mannosyltransferase)	1918	40	0	0	0	0	1	0	1	1	1	6.575593e-03	NaN	NaN	6.575593e-03	1
59	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	1249	11	0	0	0	1	0	0	1	1	1	6.578084e-03	NaN	NaN	6.578084e-03	1
60	CTAGE4	CTAGE family, member 4	4674	37	0	0	3	0	0	0	3	3	2	9.464722e-03	6.900000e-02	9.970000e-01	6.738627e-03	1
61	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)	1169	56	0	0	2	0	0	1	3	3	3	2.526358e-03	1	2.650000e-01	6.762224e-03	1
62	PRB3	proline-rich protein BstNI subfamily 3	948	23	0	1	6	0	0	0	6	6	6	8.619671e-04	1	9.120000e-01	6.944260e-03	1
63	BTBD12	BTB (POZ) domain containing 12	5557	15	0	0	0	0	1	0	1	1	1	7.139994e-03	NaN	NaN	7.139994e-03	1
64	RUNDC3B	RUN domain containing 3B	1466	23	0	0	0	1	0	0	1	1	1	7.263923e-03	NaN	NaN	7.263923e-03	1
65	PLEKHJ1	pleckstrin homology domain containing, family J member 1	472	6	0	0	0	1	0	1	2	2	2	9.119975e-04	1	9.370000e-01	7.295864e-03	1
66	CSNK1E	casein kinase 1, epsilon	1291	12	0	0	2	0	1	0	3	3	3	9.519600e-04	1	7.860000e-01	7.574734e-03	1
67	CYP4Z1	cytochrome P450, family 4, subfamily Z, polypeptide 1	1564	10	0	0	2	0	0	0	2	2	2	5.626250e-02	1	1.000000e-02	7.684212e-03	1
68	KRTAP5-4	keratin associated protein 5-4	689	0	0	17	3	0	0	0	3	3	1	1.000000e+00	1.000000e-03	5.645900e-01	7.907755e-03	1
69	CUZD1	CUB and zona pellucida-like domains 1	1856	10	0	0	0	1	0	0	1	1	1	7.915567e-03	NaN	NaN	7.915567e-03	1
70	RASD2	RASD family, member 2	809	44	0	0	2	0	0	0	2	2	2	8.164116e-03	1	9.700000e-02	8.105453e-03	1
71	POM121C	POM121 membrane glycoprotein C	3008	4	0	0	2	0	0	0	2	2	1	1.069336e-01	1.000000e-02	9.148000e-01	8.384362e-03	1
72	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	8244	14	0	0	1	1	0	2	4	4	4	1.087049e-03	1	9.590000e-01	8.505383e-03	1
73	CDSN	corneodesmosin	1596	33	0	1	0	1	0	0	1	1	1	8.767139e-03	NaN	NaN	8.767139e-03	1
74	TM4SF18	transmembrane 4 L six family member 18	628	23	0	0	1	0	0	1	2	2	2	3.369283e-03	1	1.840000e-01	9.130780e-03	1
75	CTTNBP2	cortactin binding protein 2	5082	1	0	0	3	0	1	1	5	5	5	6.709346e-02	1	9.800000e-03	9.141541e-03	1
76	LRP6	low density lipoprotein receptor-related protein 6	4930	7	0	0	0	0	1	0	1	1	1	9.155503e-03	NaN	NaN	9.155503e-03	1
77	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	1178	27	0	0	3	0	0	0	3	3	3	3.576552e-03	1	2.340000e-01	9.737137e-03	1
78	ADPRH	ADP-ribosylarginine hydrolase	1086	14	0	0	2	0	0	0	2	2	1	1.287577e-01	1.000000e-02	9.725000e-01	9.856391e-03	1
79	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	3417	7	0	0	1	2	0	0	3	3	3	3.024932e-03	1	3.780000e-01	9.923695e-03	1
80	ART5	ADP-ribosyltransferase 5	892	15	0	0	0	1	0	0	1	1	1	1.014440e-02	NaN	NaN	1.014440e-02	1
